city,ds,doy,tmax_c_q10,tmax_c_q50,tmax_c_q90,tmin_c_q10,tmin_c_q50,tmin_c_q90,humid_pct_q10,humid_pct_q50,humid_pct_q90,p_wet,precip_mm_q10,precip_mm_q50,precip_mm_q90,icon,weather_condition,weather_emoji,snow_in
Ambler,2025-11-29,333,0.2254082771489554,5.81745596849417,11.07395239793753,-3.3772890355463567,-1.7344485096279985,-0.1759914457150768,48.94862590232189,55.15566341371471,61.95262597784322,0.040919187392638,0.0306893905444784,0.2045959369631904,3.406579467774513,,Sunny,☀️,0.0
Ambler,2025-11-30,334,2.182477388019316,7.858022007579557,13.601237687701934,-3.471449267000155,-1.88794086280437,-0.132369305613122,49.67574103686957,55.51086927588556,62.00004485597805,0.0289844244031186,0.0593328217193251,0.235285327507669,2.754941408546752,,Sunny,☀️,0.0
Ambler,2025-12-01,335,2.656727323169464,8.138711461658234,13.96712685548758,-3.495345793134342,-1.9368887292214203,-0.4905034507844703,49.866114383008416,56.80414598148675,63.383092765256414,0.0221645598376789,0.0716085779371166,0.2455151243558286,3.2439256978887774,,Sunny,☀️,0.0
Ambler,2025-12-02,336,5.936224183673613,11.308484754199736,17.18877240144705,-3.0916795062634046,-1.3618185351519378,0.4247375744944315,49.269522935987695,56.18831784796378,63.363601913303214,0.040919187392638,0.0572868623496932,0.3120088038688655,4.026505156772981,,Sunny,☀️,0.0
Ambler,2025-12-03,337,4.852206430072539,10.167022904987093,16.07251664125418,-3.2347398936394707,-1.2082183139151392,0.4398961783785598,47.90685640397285,55.16549944415536,62.34719573832888,0.9650108360097156,0.061378781088957,0.7815632130134895,3.947742454856255,,Sunny,☀️,0.0
Ambler,2025-12-04,338,3.131139669055693,8.417906734580749,14.335700425739043,-3.732189930577551,-1.6028260065340916,0.1916410526752874,46.64498387615732,54.82057563961377,62.32929560432554,0.0306893905444784,0.0480800451863496,0.3171237022929453,3.9600114772599446,,Sunny,☀️,0.0
Ambler,2025-12-05,339,1.9172457786748336,7.190221223468534,13.114450845355742,-3.4933107401046923,-1.6909327313323028,-0.0823729868536524,47.56492652256647,55.27242558113482,62.02450254342474,0.0272794582617586,0.0562638826648773,0.2250555306595095,3.5088774362561086,,Sunny,☀️,0.0
Ambler,2025-12-06,340,3.819402894611113,9.157929203147644,15.12099476778006,-3.504337558197687,-1.873363456623843,-0.2938105272095623,49.13835740938329,55.30692154777161,62.93747386033097,0.0358042889685582,0.1022979684815951,0.3273534991411048,2.327335900293684,,Sunny,☀️,0.0
Ambler,2025-12-07,341,-0.8452503112604687,4.474648711318724,10.409698304767364,-3.407821260012696,-1.8849634691333184,-0.201908949602993,48.07479428470442,54.756336729819424,61.48917700560709,0.0358042889685582,0.061378781088957,0.3841017887460375,3.898094123426226,,Sunny,☀️,0.0
Ambler,2025-12-08,342,-0.69848231351877,4.619119963283293,10.544623574847932,-3.785405797682317,-2.0950995743859004,-0.4067710884802362,49.2244886824607,55.39305282084901,61.959175146950514,0.0375092551099182,0.0992290294271473,0.5575239282246941,3.4720501676027355,,Sunny,☀️,0.0
